dq_number,reported,original_location,map_address,query,desired_type,decision,candidate_count,latitude,longitude,official_location,district,inside_boundary,location_precision,result_type,result_status,geosupport_return_code,source_note
DQ2026208065,2026-07-24,"27-00 Queens Plaza S, Long Island City, NY 11101","27-00 QUEENS PLAZA SOUTH, QUEENS, NY 11101",27-00 QUEENS PLAZA SOUTH QUEENS,intersection-or-address,accepted,1,40.750117,-73.939723,27-00 QUEENS PLAZA SOUTH,26,True,official-address-point,address,EXACT_MATCH,00,Full street address
DQ2026208067,2026-07-24,37th Ave & 65th St,"37TH AVENUE & 65TH STREET, QUEENS, NY",37 AVENUE & 65 STREET QUEENS,intersection-or-address,accepted,1,40.748495,-73.897917,37 AVENUE & 65 STREET,26,True,official-intersection-node,intersection,EXACT_MATCH,00,Direct intersection
DQ2026208070,2026-07-24,39th Ave & 65th St,"39TH AVENUE & 65TH STREET, QUEENS, NY",39 AVENUE & 65 STREET QUEENS,intersection-or-address,accepted,1,40.746237,-73.898942,39 AVENUE & 65 STREET,26,True,official-intersection-node,intersection,EXACT_MATCH,00,Direct intersection
DQ2026208071,2026-07-24,39th Ave & 62nd St,"39TH AVENUE & 62ND STREET, QUEENS, NY",39 AVENUE & 62 STREET QUEENS,intersection-or-address,accepted,1,40.746909,-73.901601,39 AVENUE & 62 STREET,26,True,official-intersection-node,intersection,EXACT_MATCH,00,Direct intersection
DQ2026208072,2026-07-24,"37-04 62nd St, Flushing, NY 11377","37-04 62ND STREET, QUEENS, NY 11377",37-04 62 STREET QUEENS,intersection-or-address,accepted,1,40.748841,-73.90075,37-04 62 STREET,26,True,official-address-point,address,EXACT_MATCH,00,Full street address
DQ2026208073,2026-07-24,39th Ave & 62nd St,"39TH AVENUE & 62ND STREET, QUEENS, NY",39 AVENUE & 62 STREET QUEENS,intersection-or-address,accepted,1,40.746909,-73.901601,39 AVENUE & 62 STREET,26,True,official-intersection-node,intersection,EXACT_MATCH,00,Direct intersection
DQ2026208074,2026-07-24,39th Ave & 58th St,"39TH AVENUE & 58TH STREET, QUEENS, NY",39 AVENUE & 58 STREET QUEENS,intersection-or-address,accepted,1,40.747892,-73.905349,39 AVENUE & 58 STREET,26,True,official-intersection-node,intersection,EXACT_MATCH,00,Direct intersection
DQ2026208075,2026-07-24,"49-13 Roosevelt Ave, Sunnyside, NY 11104","49-13 ROOSEVELT AVENUE, QUEENS, NY 11104",49-13 ROOSEVELT AVENUE QUEENS,intersection-or-address,accepted,1,40.74322,-73.915612,49-13 ROOSEVELT AVENUE,26,True,official-address-point,address,EXACT_MATCH,00,Full street address
DQ2026208076,2026-07-24,"41-38 48th St, Sunnyside, NY 11104","41-38 48TH STREET, QUEENS, NY 11104",41-38 48 STREET QUEENS,intersection-or-address,accepted,1,40.746067,-73.916229,41-38 48 STREET,26,True,official-address-point,address,EXACT_MATCH,00,Full street address
DQ2026208079,2026-07-24,"48-02 Queens Blvd, Woodside, NY 11377","48-02 QUEENS BOULEVARD, QUEENS, NY 11377",48-02 QUEENS BOULEVARD QUEENS,intersection-or-address,accepted,1,40.7429,-73.916453,48-02 QUEENS BOULEVARD,26,True,official-address-point,address,EXACT_MATCH,00,Full street address
DQ2026208080,2026-07-24,62-02 Queens Blvd,"62-02 QUEENS BOULEVARD, QUEENS, NY",62-02 QUEENS BOULEVARD QUEENS,intersection-or-address,accepted,1,40.741333,-73.903107,62-02 QUEENS BOULEVARD,26,True,official-address-point,address,EXACT_MATCH,00,Street address
DQ2026208082,2026-07-24,"48-34 63rd St, Flushing, NY 11377","48-34 63RD STREET, QUEENS, NY 11377",48-34 63 STREET QUEENS,intersection-or-address,accepted,1,40.737693,-73.902766,48-34 63 STREET,26,True,official-address-point,address,EXACT_MATCH,00,Full street address
DQ2026208083,2026-07-24,48-23 63rd St,"48-23 63RD STREET, QUEENS, NY",48-23 63 STREET QUEENS,intersection-or-address,accepted,1,40.737916,-73.90274,48-23 63 STREET,26,True,official-address-point,address,EXACT_MATCH,00,Street address
DQ2026208084,2026-07-24,45-41 32nd Pl,"45-41 32ND PLACE, QUEENS, NY",45-41 32 PLACE QUEENS,intersection-or-address,accepted,1,40.744291,-73.932688,45-41 32 PLACE,26,True,official-address-point,address,EXACT_MATCH,00,Street address
DQ2026208085,2026-07-24,"33-08 Queens Blvd, Long Island City, NY 11101","33-08 QUEENS BOULEVARD, QUEENS, NY 11101",33-08 QUEENS BOULEVARD QUEENS,intersection-or-address,accepted,1,40.744639,-73.931493,33-08 QUEENS BOULEVARD,26,True,official-address-point,address,EXACT_MATCH,00,Full street address
DQ2026208086,2026-07-24,Queens Blvd & 33rd St,"QUEENS BOULEVARD & 33RD STREET, QUEENS, NY",QUEENS BOULEVARD & 33 STREET QUEENS,intersection-or-address,accepted,1,40.744669,-73.931684,33 STREET & QUEENS BOULEVARD,26,True,official-intersection-node,intersection,EXACT_MATCH,00,Direct intersection
DQ2026208087,2026-07-24,"38-06 31st St, Long Island City, NY 11101","38-06 31ST STREET, QUEENS, NY 11101",38-06 31 STREET QUEENS,intersection-or-address,accepted,1,40.753582,-73.932202,38-06 31 STREET,26,True,official-address-point,address,EXACT_MATCH,00,Full street address
DQ2026195044,,Queens Boukevard 53rd street,"QUEENS BOULEVARD & 53RD STREET, QUEENS, NY",QUEENS BOULEVARD & 53 STREET QUEENS,intersection-or-address,accepted,1,40.742383,-73.911943,53 STREET & QUEENS BOULEVARD,26,True,official-intersection-node,intersection,EXACT_MATCH,00,Intersection inferred from two street names
DQ2026195047,,Queens Boulevard 54th street,"QUEENS BOULEVARD & 54TH STREET, QUEENS, NY",QUEENS BOULEVARD & 54 STREET QUEENS,intersection-or-address,accepted,1,40.742276,-73.911045,54 STREET & QUEENS BOULEVARD,26,True,official-intersection-node,intersection,EXACT_MATCH,00,Intersection inferred from two street names
DQ2026195050,,Queens Boulevard 55th street,"QUEENS BOULEVARD & 55TH STREET, QUEENS, NY",QUEENS BOULEVARD & 55 STREET QUEENS,intersection-or-address,accepted,1,40.742171,-73.910157,55 STREET & QUEENS BOULEVARD,26,True,official-intersection-node,intersection,EXACT_MATCH,00,Intersection inferred from two street names
DQ2026195052,,Queens Bouoevard 57th street,"QUEENS BOULEVARD & 57TH STREET, QUEENS, NY",QUEENS BOULEVARD & 57 STREET QUEENS,intersection-or-address,accepted,1,40.74196,-73.908302,57 STREET & QUEENS BOULEVARD,26,True,official-intersection-node,intersection,EXACT_MATCH,00,Intersection inferred from two street names
DQ2026195053,,Queens Boulevard 58th street,"QUEENS BOULEVARD & 58TH STREET, QUEENS, NY",QUEENS BOULEVARD & 58 STREET QUEENS,intersection-or-address,accepted,1,40.741864,-73.907505,58 STREET & QUEENS BOULEVARD,26,True,official-intersection-node,intersection,EXACT_MATCH,00,Intersection inferred from two street names
DQ2026195055,,Queens Boulevard 60th street,"QUEENS BOULEVARD & 60TH STREET, QUEENS, NY",QUEENS BOULEVARD & 60 STREET QUEENS,intersection-or-address,accepted,1,40.741521,-73.90459,60 STREET & QUEENS BOULEVARD,26,True,official-intersection-node,intersection,EXACT_MATCH,00,Intersection inferred from two street names
DQ2026196051,,Queens Boulevard 63rd,"QUEENS BOULEVARD & 63RD STREET, QUEENS, NY",QUEENS BOULEVARD & 63 STREET QUEENS,intersection-or-address,accepted,1,40.741281,-73.902565,63 STREET & QUEENS BOULEVARD,26,True,official-intersection-node,intersection,EXACT_MATCH,00,Intersection inferred from two street names
DQ2026196053,,Queens boulevard 63rd street,"QUEENS BOULEVARD & 63RD STREET, QUEENS, NY",QUEENS BOULEVARD & 63 STREET QUEENS,intersection-or-address,accepted,1,40.741281,-73.902565,63 STREET & QUEENS BOULEVARD,26,True,official-intersection-node,intersection,EXACT_MATCH,00,Intersection inferred from two street names
DQ2026196054,,Queens boulevard 65th street,"QUEENS BOULEVARD & 65TH STREET, QUEENS, NY",QUEENS BOULEVARD & 65 STREET QUEENS,intersection-or-address,accepted,1,40.74101,-73.90057,65 STREET & QUEENS BOULEVARD,26,True,official-intersection-node,intersection,EXACT_MATCH,00,Intersection inferred from two street names
DQ2026196055,,Queens boulevard 69th street,"QUEENS BOULEVARD & 69TH STREET, QUEENS, NY",QUEENS BOULEVARD & 69 STREET QUEENS,intersection-or-address,accepted,1,40.740273,-73.895851,69 STREET & QUEENS BOULEVARD,26,True,official-intersection-node,intersection,EXACT_MATCH,00,Intersection inferred from two street names
DQ2026196056,,Queens Boulevard 60th street,"QUEENS BOULEVARD & 60TH STREET, QUEENS, NY",QUEENS BOULEVARD & 60 STREET QUEENS,intersection-or-address,accepted,1,40.741521,-73.90459,60 STREET & QUEENS BOULEVARD,26,True,official-intersection-node,intersection,EXACT_MATCH,00,Intersection inferred from two street names
DQ2026196058,,Queens Boulevard 60th street,"QUEENS BOULEVARD & 60TH STREET, QUEENS, NY",QUEENS BOULEVARD & 60 STREET QUEENS,intersection-or-address,accepted,1,40.741521,-73.90459,60 STREET & QUEENS BOULEVARD,26,True,official-intersection-node,intersection,EXACT_MATCH,00,Intersection inferred from two street names
DQ2026203045,,43rd ave 51st street,"43RD AVENUE & 51ST STREET, QUEENS, NY",43 AVENUE & 51 STREET QUEENS,intersection-or-address,accepted,1,40.744364,-73.913705,43 AVENUE & 51 STREET,26,True,official-intersection-node,intersection,EXACT_MATCH,00,Intersection inferred from two street names
DQ2026203046,,43rd ave 51st st,"43RD AVENUE & 51ST STREET, QUEENS, NY",43 AVENUE & 51 STREET QUEENS,intersection-or-address,accepted,1,40.744364,-73.913705,43 AVENUE & 51 STREET,26,True,official-intersection-node,intersection,EXACT_MATCH,00,Intersection inferred from two street names
DQ2026203047,,43rd ave 50th st,"43RD AVENUE & 50TH STREET, QUEENS, NY",43 AVENUE & 50 STREET QUEENS,intersection-or-address,accepted,1,40.744471,-73.914636,43 AVENUE & 50 STREET,26,True,official-intersection-node,intersection,EXACT_MATCH,00,Intersection inferred from two street names
DQ2026204068,,43rd road 10th street,"43RD ROAD & 10TH STREET, QUEENS, NY",43 ROAD & 10 STREET QUEENS,intersection-or-address,accepted,1,40.751455,-73.949467,10 STREET & 43 ROAD,26,True,official-intersection-node,intersection,EXACT_MATCH,00,Intersection inferred from two street names
DQ2026204070,,44thave 10th street,"44TH AVENUE & 10TH STREET, QUEENS, NY",44 AVENUE & 10 STREET QUEENS,intersection-or-address,accepted,1,40.750248,-73.950511,10 STREET & 44 AVENUE,26,True,official-intersection-node,intersection,EXACT_MATCH,00,Intersection inferred from two street names
DQ2026204071,,46th ave center boulevard,"46TH AVENUE & CENTER BOULEVARD, QUEENS, NY",46 AVENUE & CENTER BOULEVARD QUEENS,intersection-or-address,accepted,1,40.747621,-73.956504,46 AVENUE & CENTER BOULEVARD,26,True,official-intersection-node,intersection,EXACT_MATCH,00,Intersection inferred from two street names
DQ2026204077,,47th ave 32nd place,"47TH AVENUE & 32ND PLACE, QUEENS, NY",47 AVENUE & 32 PLACE QUEENS,intersection-or-address,accepted,1,40.742768,-73.93301,32 PLACE & 47 AVENUE,26,True,official-intersection-node,intersection,EXACT_MATCH,00,Intersection inferred from two street names
DQ2026204078,,47th ave center boulevard,"47TH AVENUE & CENTER BOULEVARD, QUEENS, NY",47 AVENUE & CENTER BOULEVARD QUEENS,intersection-or-address,accepted,1,40.746164,-73.956649,47 AVENUE & CENTER BOULEVARD,26,True,official-intersection-node,intersection,EXACT_MATCH,00,Intersection inferred from two street names
DQ2026204079,,47th avenue 5th street,"47TH AVENUE & 5TH STREET, QUEENS, NY",47 AVENUE & 5 STREET QUEENS,intersection-or-address,accepted,1,40.745946,-73.955513,5 STREET & 47 AVENUE,26,True,official-intersection-node,intersection,EXACT_MATCH,00,Intersection inferred from two street names
DQ2026204080,,47th road center boulevard,"47TH ROAD & CENTER BOULEVARD, QUEENS, NY",47 ROAD & CENTER BOULEVARD QUEENS,intersection-or-address,accepted,1,40.745549,-73.957213,47 ROAD & CENTER BOULEVARD,26,True,official-intersection-node,intersection,EXACT_MATCH,00,Intersection inferred from two street names
DQ2026204081,,47th road center boulevard,"47TH ROAD & CENTER BOULEVARD, QUEENS, NY",47 ROAD & CENTER BOULEVARD QUEENS,intersection-or-address,accepted,1,40.745549,-73.957213,47 ROAD & CENTER BOULEVARD,26,True,official-intersection-node,intersection,EXACT_MATCH,00,Intersection inferred from two street names
DQ2026204082,,48th avenue 32nd place,"48TH AVENUE & 32ND PLACE, QUEENS, NY",48 AVENUE & 32 PLACE QUEENS,intersection-or-address,accepted,1,40.740921,-73.93338,32 PLACE & 48 AVENUE,26,True,official-intersection-node,intersection,EXACT_MATCH,00,Intersection inferred from two street names
DQ2026204083,,48th avenue center boulevard,"48TH AVENUE & CENTER BOULEVARD, QUEENS, NY",48 AVENUE & CENTER BOULEVARD QUEENS,intersection-or-address,accepted,1,40.744874,-73.957855,48 AVENUE & CENTER BOULEVARD,26,True,official-intersection-node,intersection,EXACT_MATCH,00,Intersection inferred from two street names
DQ2026204084,,courth square 44th drive,"COURT SQUARE & 44TH DRIVE, QUEENS, NY",COURT SQUARE & 44 DRIVE QUEENS,intersection-or-address,accepted,1,40.746135,-73.941708,44 DRIVE & COURT SQUARE,26,True,official-intersection-node,intersection,EXACT_MATCH,00,Intersection inferred from two street names
DQ2026204085,,hunters point ave 32nd place,"HUNTERS POINT AVENUE & 32ND PLACE, QUEENS, NY",HUNTERS POINT AVENUE & 32 PLACE QUEENS,intersection-or-address,accepted,1,40.739272,-73.93371,32 PLACE & HUNTERS POINT AVENUE,26,True,official-intersection-node,intersection,EXACT_MATCH,00,Intersection inferred from two street names
DQ2026204086,,jackson ave court square,"JACKSON AVENUE & COURT SQUARE, QUEENS, NY",JACKSON AVENUE & COURT SQUARE QUEENS,intersection-or-address,accepted,1,40.746479,-73.944018,COURT SQUARE & JACKSON AVENUE,26,True,official-intersection-node,intersection,EXACT_MATCH,00,Intersection inferred from two street names
DQ2026204087,,jackson ave court square,"JACKSON AVENUE & COURT SQUARE, QUEENS, NY",JACKSON AVENUE & COURT SQUARE QUEENS,intersection-or-address,accepted,1,40.746479,-73.944018,COURT SQUARE & JACKSON AVENUE,26,True,official-intersection-node,intersection,EXACT_MATCH,00,Intersection inferred from two street names
DQ2026204089,,n basin road 5th street,"NORTH BASIN ROAD & 5TH STREET, QUEENS, NY",NORTH BASIN ROAD & 5 STREET QUEENS,intersection-or-address,accepted,1,40.747892,-73.954919,NORTH BASIN ROAD & 5 STREET,26,True,official-intersection-node,intersection,EXACT_MATCH,00,Intersection inferred from two street names
DQ2026204090,,n basin road center boulevard,"NORTH BASIN ROAD & CENTER BOULEVARD, QUEENS, NY",NORTH BASIN ROAD & CENTER BOULEVARD QUEENS,intersection-or-address,accepted,1,40.748513,-73.956853,NORTH BASIN ROAD & CENTER BOULEVARD,26,True,official-intersection-node,intersection,EXACT_MATCH,00,Intersection inferred from two street names
